2026-05-11 15:39:25 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-11 15:39:25 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-11 15:39:25 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1108ms)
2026-05-11 15:39:25 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-11 15:39:25 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 16ms
2026-05-11 15:39:25 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing )
2026-05-11 15:39:36 | DEBUG    | core.vector_store | Search: 4 results (threshold=0.10) in 0ms
2026-05-11 15:42:46 | INFO     | core.pdf_processor | Parsing PDF: testing .pdf (hash=5fec98af616fe24e)
2026-05-11 15:42:47 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-11 15:42:47 | DEBUG    | core.pdf_processor | Chunked testing .pdf: 6 pages → 18 chunks
2026-05-11 15:42:47 | INFO     | core.pdf_processor | testing .pdf: 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1155ms)
2026-05-11 15:42:47 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-11 15:42:47 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 16ms
2026-05-11 15:42:47 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing .pdf)
2026-05-11 15:43:00 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-11 15:43:20 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 14ms
2026-05-11 15:43:46 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-11 15:47:19 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-11 16:04:53 | INFO     | core.pdf_processor | Parsing PDF: testing .pdf (hash=5fec98af616fe24e)
2026-05-11 16:04:54 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
